Date,TCS.NS,INFY.NS,HDFCBANK.NS,RELIANCE.NS,ICICIBANK.NS
2015-01-02,1020.2653198242188,374.9980773925781,220.25865173339844,189.49693298339844,302.36968994140625
2015-01-05,1004.7601928710938,371.77557373046875,218.3990478515625,187.42124938964844,302.9955749511719
2015-01-06,967.7183227539062,364.0081787109375,214.9992218017578,178.91525268554688,290.14306640625
2015-01-07,956.2872314453125,365.7497863769531,215.62669372558594,182.80982971191406,282.2979431152344
2015-01-08,966.6110229492188,367.5938720703125,220.156005859375,180.18846130371094,289.97613525390625
2015-01-09,993.7048950195312,386.4070739746094,222.62030029296875,184.09371948242188,285.3024597167969
2015-01-12,992.6765747070312,394.1372985839844,220.65798950195312,181.953857421875,289.2249755859375
2015-01-13,988.0094604492188,389.0987243652344,219.81373596191406,180.42385864257812,284.5095520019531
2015-01-14,997.5218505859375,396.5028991699219,219.93923950195312,178.66915893554688,281.1712951660156
2015-01-15,1004.305419921875,397.5460205078125,226.61341857910156,184.93899536132812,294.4829406738281
2015-01-16,1001.5564575195312,394.5749816894531,228.48443603515625,186.10523986816406,295.3174743652344
2015-01-19,993.1905517578125,391.6319885253906,229.214599609375,188.23440551757812,301.1178283691406
2015-01-20,989.01806640625,395.6739807128906,232.95672607421875,193.24172973632812,306.918212890625
2015-01-21,994.29833984375,404.18658447265625,232.72854614257812,194.0334930419922,307.50238037109375
2015-01-22,994.19921875,409.1319274902344,233.025146484375,189.11178588867188,308.6291198730469
2015-01-23,990.2634887695312,412.5966491699219,237.9423828125,189.78579711914062,309.3802490234375
2015-01-27,991.6310424804688,397.965087890625,245.07289123535156,190.24588012695312,320.06280517578125
2015-01-28,1006.5130615234375,399.4645690917969,241.49050903320312,194.05487060546875,320.5218811035156
2015-01-29,1008.5142211914062,399.64154052734375,249.8531951904297,198.8802947998047,317.3922119140625
2015-01-30,983.7042236328125,398.97100830078125,245.8258514404297,195.8523712158203,301.0343322753906
2015-02-02,996.4463500976562,398.03033447265625,246.79562377929688,194.31166076660156,293.6483154296875
2015-02-03,1013.9046630859375,395.059326171875,242.80247497558594,200.635009765625,289.2667236328125
2015-02-04,996.4861450195312,399.14794921875,243.62393188476562,198.75192260742188,287.6392517089844
2015-02-05,1011.5862426757812,408.6383972167969,245.6319122314453,197.66058349609375,280.0863037109375
2015-02-06,1020.8405151367188,415.4745178222656,240.38385009765625,194.7075653076172,274.8701171875
2015-02-09,995.9313354492188,418.9017639160156,237.32626342773438,191.88290405273438,267.1085510253906
2015-02-10,967.49462890625,424.3782653808594,240.60060119628906,188.73728942871094,276.2889709472656
2015-02-11,974.9257202148438,425.5981750488281,241.50193786621094,192.7388458251953,279.335205078125
2015-02-12,975.8175048828125,430.5064392089844,245.51780700683594,194.5470733642578,283.049072265625
2015-02-13,1006.1762084960938,427.6937561035156,243.1904296875,196.33384704589844,286.9716491699219
2015-02-16,1024.4266357421875,424.4620666503906,243.58970642089844,193.188232421875,282.13104248046875
2015-02-18,1044.580078125,427.7682800292969,245.2439727783203,192.94215393066406,285.7615051269531
2015-02-19,1062.5743408203125,433.0211181640625,246.38491821289062,193.02772521972656,282.5483703613281
2015-02-20,1060.393798828125,425.2723083496094,244.8446807861328,186.83277893066406,276.2054748535156
2015-02-23,1068.75634765625,422.01251220703125,243.57830810546875,182.199951171875,274.57806396484375
2015-02-24,1071.9666748046875,423.35369873046875,243.612548828125,180.06005859375,272.1159973144531
2015-02-25,1059.0662841796875,431.69854736328125,240.14422607421875,180.42385864257812,269.15325927734375
2015-02-26,1052.8238525390625,420.61553955078125,236.88134765625,180.1777801513672,268.1517333984375
2015-02-27,1055.16259765625,422.0404357910156,240.4979248046875,183.07730102539062,279.7942199707031
2015-03-02,1057.9564208984375,426.8741760253906,247.01235961914062,184.93899536132812,291.31146240234375
2015-03-03,1100.2049560546875,428.0196838378906,247.19491577148438,192.76025390625,290.9776611328125
2015-03-04,1088.315185546875,423.6982116699219,243.07630920410156,189.98910522460938,291.56182861328125
2015-03-05,1068.677001953125,418.6597900390625,247.59420776367188,189.36854553222656,290.22650146484375
2015-03-09,1048.9991455078125,407.9397888183594,241.63880920410156,186.0945281982422,277.74945068359375
2015-03-10,1047.3743896484375,409.4206848144531,240.16709899902344,183.84767150878906,278.4588317871094
2015-03-11,1033.047119140625,406.47760009765625,241.05694580078125,183.16290283203125,277.6242980957031
2015-03-12,1038.0010986328125,413.20196533203125,240.6348114013672,184.84268188476562,282.2561950683594
2015-03-13,1023.456298828125,413.5931701660156,237.9081268310547,181.9110870361328,275.57952880859375
2015-03-16,1015.509765625,422.2080383300781,239.9388885498047,180.1991729736328,276.6227722167969
2015-03-17,1023.9909057617188,417.3371887207031,241.4220428466797,183.3555145263672,279.46038818359375
2015-03-18,1014.3404541015625,415.28814697265625,242.67701721191406,185.8805389404297,279.41864013671875
2015-03-19,1028.9652099609375,415.4651184082031,240.0872039794922,183.20567321777344,275.57952880859375
2015-03-20,1034.7906494140625,420.49432373046875,240.93148803710938,182.7670440673828,265.8984069824219
2015-03-23,1037.248291015625,416.0238342285156,239.07179260253906,180.1670684814453,261.8924560546875
2015-03-24,1027.0030517578125,411.926025390625,236.835693359375,181.4510040283203,260.306640625
2015-03-25,1020.0477905273438,413.3509826660156,235.99147033691406,180.79833984375,264.4796142578125
2015-03-26,996.0106201171875,399.7998046875,229.7622528076172,177.46014404296875,257.01007080078125
2015-03-27,996.684326171875,410.19378662109375,231.51919555664062,173.69395446777344,262.518310546875
